Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
107,14/01/2012,4564,M,S,N,4,10K - 30K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,2.86
108,14/01/2012,6713,M,M,N,2,30K - 50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,19.66
109,14/01/2012,7569,F,M,Y,0,30K - 50K,Salem,OR,USA,Food,Produce,Vegetables,4,5.04
110,14/01/2012,3593,F,M,Y,2,150K +,Bremerton,WA,USA,Food,Deli,Meat,3,9.94
111,14/01/2012,1254,F,M,N,0,90K - 110K,Seattle,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,24.11
112,14/01/2012,8818,M,S,N,2,30K - 50K,Seattle,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,29.64
113,14/01/2012,5499,M,M,Y,4,70K - 90K,Portland,OR,USA,Food,Baking Goods,Baking Goods,2,14.76
114,14/01/2012,5649,M,M,Y,3,10K - 30K,Bellingham,WA,USA,Food,Baking Goods,Jams and Jellies,4,9.68
115,15/01/2012,2924,M,S,N,5,30K - 50K,Bremerton,WA,USA,Food,Canned Foods,Canned Tuna,5,23.27
116,15/01/2012,3861,F,M,Y,4,30K - 50K,San Francisco,CA,USA,Food,Deli,Meat,2,7.15
117,15/01/2012,4396,F,M,Y,3,130K - 150K,Salem,OR,USA,Food,Baking Goods,Baking Goods,3,10.92
118,15/01/2012,3313,M,M,Y,0,30K - 50K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,3,10.96
119,15/01/2012,10213,M,S,Y,2,30K - 50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,4,10.13
120,15/01/2012,2331,F,S,Y,4,90K - 110K,San Diego,CA,USA,Food,Frozen Foods,Vegetables,3,11.99
121,15/01/2012,9044,M,M,N,3,30K - 50K,Los Angeles,CA,USA,Food,Starchy Foods,Starchy Foods,5,27.65
122,15/01/2012,9459,F,S,Y,4,50K - 70K,Portland,OR,USA,Food,Produce,Vegetables,3,25.2
123,15/01/2012,3938,M,S,N,4,30K - 50K,Salem,OR,USA,Non-Consumable,Household,Kitchen Products,5,14.54
124,15/01/2012,10240,F,S,Y,3,130K - 150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,11.27
125,16/01/2012,780,M,S,Y,5,110K - 130K,Salem,OR,USA,Food,Frozen Foods,Pizza,3,21.87
126,16/01/2012,6760,F,M,Y,2,50K - 70K,Tacoma,WA,USA,Food,Dairy,Dairy,4,14.26
127,16/01/2012,28,F,S,Y,1,10K - 30K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,4,11.04
128,16/01/2012,1147,F,S,Y,3,30K - 50K,Salem,OR,USA,Food,Produce,Vegetables,4,10.43
129,16/01/2012,6021,F,S,Y,4,50K - 70K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,7.01
130,16/01/2012,484,F,M,Y,3,90K - 110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,9.59
131,16/01/2012,7075,F,M,Y,3,90K - 110K,Seattle,WA,USA,Food,Dairy,Dairy,3,21.53
132,16/01/2012,5973,M,M,Y,2,90K - 110K,Bremerton,WA,USA,Food,Snacks,Candy,5,31.13
133,17/01/2012,1900,F,S,Y,3,130K - 150K,Beverly Hills,CA,USA,Food,Produce,Fruit,2,6.32
134,17/01/2012,8154,F,S,Y,5,130K - 150K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,5,20.4
135,17/01/2012,7263,M,S,Y,3,10K - 30K,Portland,OR,USA,Food,Baked Goods,Bread,4,20.27
136,17/01/2012,7694,F,S,Y,2,130K - 150K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,19.4
137,17/01/2012,8091,F,S,Y,4,90K - 110K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,8.06
138,17/01/2012,8259,F,M,Y,0,10K - 30K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,2,6.24
139,17/01/2012,3334,F,M,Y,2,70K - 90K,Tacoma,WA,USA,Food,Produce,Vegetables,5,12.18
140,17/01/2012,8731,F,M,N,1,50K - 70K,Bremerton,WA,USA,Food,Starchy Foods,Starchy Foods,5,18.84
141,17/01/2012,2019,M,S,N,4,10K - 30K,Spokane,WA,USA,Non-Consumable,Household,Electrical,5,30.19
142,17/01/2012,2775,F,M,Y,4,70K - 90K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,6,4.31
143,18/01/2012,7743,F,S,N,0,30K - 50K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Desserts,5,31.7
144,18/01/2012,4021,M,M,N,3,30K - 50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,8.8
145,18/01/2012,6518,M,M,Y,3,30K - 50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,5,4.97
146,18/01/2012,1748,F,S,N,1,10K - 30K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,26.5
147,18/01/2012,2673,M,M,Y,5,50K - 70K,Portland,OR,USA,Food,Snack Foods,Snack Foods,3,23.06
148,18/01/2012,7359,F,M,N,4,10K - 30K,Salem,OR,USA,Food,Frozen Foods,Pizza,5,15.18
149,18/01/2012,8452,M,M,N,4,130K - 150K,Spokane,WA,USA,Food,Produce,Fruit,5,21.22
150,18/01/2012,6957,F,S,N,2,30K - 50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,11.34
151,18/01/2012,7075,F,M,Y,3,90K - 110K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,4,11.49
152,18/01/2012,6647,M,S,Y,3,30K - 50K,Tacoma,WA,USA,Food,Produce,Fruit,5,19.12
153,18/01/2012,4564,M,S,N,4,10K - 30K,Tacoma,WA,USA,Food,Frozen Foods,Frozen Desserts,2,16.62
154,18/01/2012,5898,M,S,N,2,10K - 30K,Bremerton,WA,USA,Food,Dairy,Dairy,3,12.15
155,18/01/2012,8269,F,S,N,4,30K - 50K,Salem,OR,USA,Food,Frozen Foods,Frozen Desserts,5,23.27
156,19/01/2012,1906,M,M,Y,1,50K - 70K,Beverly Hills,CA,USA,Food,Baked Goods,Bread,5,11.5
157,19/01/2012,6439,F,S,N,3,30K - 50K,Los Angeles,CA,USA,Food,Dairy,Dairy,6,29.3
158,19/01/2012,5230,M,M,Y,3,30K - 50K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,6,14.02
159,19/01/2012,1249,F,S,N,2,30K - 50K,Seattle,WA,USA,Food,Starchy Foods,Starchy Foods,4,28.37
160,19/01/2012,4552,M,M,Y,2,10K - 30K,Tacoma,WA,USA,Food,Frozen Foods,Pizza,4,22.38
161,19/01/2012,4727,F,M,Y,4,150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,25.65
162,19/01/2012,7781,M,S,N,2,50K - 70K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Decongestants,5,18.69
163,19/01/2012,3567,M,M,Y,1,70K - 90K,Spokane,WA,USA,Food,Baking Goods,Jams and Jellies,4,16.61
164,19/01/2012,8818,M,S,N,2,30K - 50K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,20.22
165,19/01/2012,5238,M,S,Y,3,10K - 30K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,2,11.22
166,19/01/2012,2035,F,M,N,5,50K - 70K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,29
167,19/01/2012,3132,F,S,N,4,70K - 90K,Seattle,WA,USA,Food,Produce,Vegetables,6,15.73
168,19/01/2012,8147,M,M,Y,3,130K - 150K,Bellingham,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,2.92
169,19/01/2012,5388,M,M,Y,4,70K - 90K,Portland,OR,USA,Food,Snacks,Candy,2,15.33
170,20/01/2012,8830,F,S,Y,0,30K - 50K,San Francisco,CA,USA,Food,Produce,Specialty,1,2.63
171,20/01/2012,3776,F,S,N,4,30K - 50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,6.7
172,20/01/2012,8220,F,S,N,2,30K - 50K,San Diego,CA,USA,Food,Produce,Vegetables,3,22.53
173,20/01/2012,1193,F,S,Y,0,90K - 110K,Salem,OR,USA,Food,Frozen Foods,Pizza,6,7.64
174,20/01/2012,9810,M,S,N,3,10K - 30K,San Diego,CA,USA,Food,Frozen Foods,Frozen Desserts,6,6.46
175,20/01/2012,5026,M,S,N,5,30K - 50K,Tacoma,WA,USA,Food,Baked Goods,Bread,3,3.02
176,20/01/2012,2398,F,S,N,4,50K - 70K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,3,4.05
177,20/01/2012,7845,F,M,N,5,70K - 90K,Salem,OR,USA,Food,Deli,Side Dishes,2,6.62
178,20/01/2012,4445,F,S,Y,2,50K - 70K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,23.32
179,20/01/2012,2921,F,S,Y,4,30K - 50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,3,9.59
180,21/01/2012,6079,F,M,Y,3,70K - 90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,4,4.99
181,21/01/2012,3242,F,S,N,3,10K - 30K,Bremerton,WA,USA,Drink,Beverages,Carbonated Beverages,5,3.63
182,21/01/2012,4066,F,M,Y,3,130K - 150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,6.93
183,22/01/2012,8291,F,M,Y,2,30K - 50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,16.3
184,22/01/2012,5991,M,M,Y,1,50K - 70K,Bremerton,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,17.46
185,22/01/2012,7446,M,M,N,1,30K - 50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,9.05
186,22/01/2012,2251,M,M,N,0,30K - 50K,Salem,OR,USA,Food,Meat,Meat,4,2.68
187,22/01/2012,3001,F,M,N,1,30K - 50K,Salem,OR,USA,Food,Produce,Vegetables,4,44.78
188,22/01/2012,7823,F,M,Y,5,10K - 30K,Los Angeles,CA,USA,Food,Deli,Side Dishes,6,8.06
189,22/01/2012,9129,F,S,Y,0,110K - 130K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,6,2.95
190,22/01/2012,8060,M,S,N,4,50K - 70K,Walla Walla,WA,USA,Food,Produce,Vegetables,1,1.65
191,22/01/2012,2361,M,S,N,3,10K - 30K,San Diego,CA,USA,Food,Deli,Meat,3,4.43
192,23/01/2012,4016,F,M,N,5,70K - 90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,5.24
193,23/01/2012,1313,F,M,Y,1,30K - 50K,Seattle,WA,USA,Food,Frozen Foods,Frozen Desserts,4,8.3
194,23/01/2012,304,M,M,Y,1,90K - 110K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,4,19.05
195,23/01/2012,2143,M,S,N,3,10K - 30K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,2,7.45
196,23/01/2012,878,F,S,N,0,10K - 30K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,15.22
197,23/01/2012,2313,F,M,Y,3,10K - 30K,San Diego,CA,USA,Food,Canned Foods,Canned Sardines,4,10.8
198,23/01/2012,363,F,M,Y,4,130K - 150K,Los Angeles,CA,USA,Food,Deli,Meat,6,30.91
199,23/01/2012,3412,M,S,N,5,30K - 50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,3,16.79
200,23/01/2012,5016,M,M,Y,5,70K - 90K,Los Angeles,CA,USA,Food,Deli,Meat,3,13.86
201,23/01/2012,4727,F,M,Y,4,150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,6.6
202,23/01/2012,3776,F,S,N,4,30K - 50K,Salem,OR,USA,Non-Consumable,Household,Electrical,4,7.49
203,23/01/2012,9826,M,S,Y,4,70K - 90K,Salem,OR,USA,Food,Produce,Vegetables,4,10.88
204,23/01/2012,3773,F,S,Y,1,110K - 130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,9.01
205,23/01/2012,9263,F,M,Y,2,30K - 50K,Spokane,WA,USA,Food,Canned Foods,Canned Tuna,3,8.63
206,23/01/2012,9306,M,M,Y,4,50K - 70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,7.81
207,23/01/2012,7149,F,S,Y,4,10K - 30K,Salem,OR,USA,Food,Produce,Fruit,4,2.63
208,24/01/2012,2158,M,M,Y,3,10K - 30K,Portland,OR,USA,Food,Produce,Vegetables,4,13.68
209,24/01/2012,213,F,S,Y,3,30K - 50K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,3,25.29
210,24/01/2012,3446,F,S,Y,4,30K - 50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,3,13.06
211,24/01/2012,8606,F,M,N,2,110K - 130K,Seattle,WA,USA,Food,Canned Foods,Canned Sardines,4,15.12
212,24/01/2012,976,F,M,Y,5,70K - 90K,Spokane,WA,USA,Non-Consumable,Household,Paper Products,3,10.71
213,24/01/2012,5734,M,M,Y,3,30K - 50K,Salem,OR,USA,Food,Canned Foods,Vegetables,3,6.4
214,24/01/2012,9264,F,M,N,4,90K - 110K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,4,26.68
215,24/01/2012,4670,M,S,Y,1,30K - 50K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,3,11.47
216,25/01/2012,8342,F,M,Y,2,70K - 90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,4,8.12
217,25/01/2012,4457,M,S,N,2,30K - 50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,2,5.34
218,25/01/2012,1741,M,M,Y,4,70K - 90K,Portland,OR,USA,Food,Dairy,Dairy,3,4.75
219,25/01/2012,9014,F,S,N,1,50K - 70K,Salem,OR,USA,Food,Canned Foods,Canned Soup,4,4.22
220,25/01/2012,6866,F,M,N,5,10K - 30K,Tacoma,WA,USA,Food,Canned Products,Fruit,5,9.13
221,26/01/2012,2878,F,M,Y,4,30K - 50K,Bremerton,WA,USA,Food,Deli,Meat,3,17.22
222,26/01/2012,9551,M,M,N,2,10K - 30K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,5,2.31
223,26/01/2012,3799,F,S,Y,2,30K - 50K,Salem,OR,USA,Non-Consumable,Carousel,Specialty,6,23.92
224,26/01/2012,9469,F,S,Y,1,10K - 30K,Tacoma,WA,USA,Non-Consumable,Household,Kitchen Products,5,11.35
225,26/01/2012,4813,F,M,N,1,70K - 90K,Los Angeles,CA,USA,Food,Eggs,Eggs,3,26.5
